,city,year,population
105,Savsat district,1975,0
106,Savsat district,1976,0
107,Savsat district,1977,0
108,Savsat district,1978,0
109,Savsat district,1979,0
110,Savsat district,1980,0
111,Savsat district,1981,0
112,Savsat district,1982,0
113,Savsat district,1983,0
114,Savsat district,1984,0
115,Savsat district,1985,0
116,Savsat district,1986,0
117,Savsat district,1987,0
118,Savsat district,1988,0
119,Savsat district,1989,0
120,Savsat district,1990,0
121,Savsat district,1991,0
122,Savsat district,1992,0
123,Savsat district,1993,0
124,Savsat district,1994,0
125,Savsat district,1995,0
126,Savsat district,1996,0
127,Savsat district,1997,0
128,Savsat district,1998,0
129,Savsat district,1999,0
130,Savsat district,2000,0
131,Savsat district,2001,0
132,Savsat district,2002,0
133,Savsat district,2003,0
134,Savsat district,2004,0
135,Savsat district,2005,0
136,Savsat district,2006,0
137,Savsat district,2007,0
138,Savsat district,2008,0
139,Savsat district,2009,0
140,Savsat district,2010,0
141,Savsat district,2011,0
142,Savsat district,2012,0
143,Savsat district,2013,0
144,Savsat district,2014,0
145,Savsat district,2015,0
146,Savsat district,2016,0
147,Savsat district,2017,0
148,Savsat district,2018,0
149,Savsat district,2019,0
150,Bressanone,1970,0
151,Bressanone,1971,0
152,Bressanone,1972,0
153,Bressanone,1973,0
154,Bressanone,1974,0
155,Bressanone,1975,0
156,Bressanone,1976,0
157,Bressanone,1977,0
158,Bressanone,1978,0
159,Bressanone,1979,0
160,Bressanone,1980,0
161,Bressanone,1981,0
162,Bressanone,1982,0
163,Bressanone,1983,0
164,Bressanone,1984,0
165,Bressanone,1985,0
166,Bressanone,1986,0
167,Bressanone,1987,0
168,Bressanone,1988,0
169,Bressanone,1989,0
170,Bressanone,1990,0
171,Bressanone,1991,0
172,Bressanone,1992,0
173,Bressanone,1993,0
174,Bressanone,1994,0
175,Bressanone,1995,0
176,Bressanone,1996,0
177,Bressanone,1997,0
178,Bressanone,1998,0
179,Bressanone,1999,0
180,Bressanone,2000,0
181,Bressanone,2001,0
182,Bressanone,2002,0
183,Bressanone,2003,0
184,Bressanone,2004,0
185,Bressanone,2005,0
186,Bressanone,2006,0
187,Bressanone,2007,0
188,Bressanone,2008,0
189,Bressanone,2009,0
190,Bressanone,2010,0
191,Bressanone,2011,0
192,Bressanone,2012,0
193,Bressanone,2013,0
194,Bressanone,2014,0
195,Bressanone,2015,0
196,Bressanone,2016,0
197,Bressanone,2017,0
198,Bressanone,2018,0
199,Bressanone,2019,0
200,Wam,1970,0
201,Wam,1971,0
202,Wam,1972,0
203,Wam,1973,0
204,Wam,1974,0
205,Wam,1975,0
206,Wam,1976,0
207,Wam,1977,0
208,Wam,1978,0
209,Wam,1979,0
210,Wam,1980,0
211,Wam,1981,0
212,Wam,1982,0
213,Wam,1983,0
214,Wam,1984,0
215,Wam,1985,0
216,Wam,1986,0
217,Wam,1987,0
218,Wam,1988,0
219,Wam,1989,0
220,Wam,1990,0
221,Wam,1991,0
222,Wam,1992,0
223,Wam,1993,0
224,Wam,1994,0
225,Wam,1995,0
226,Wam,1996,0
227,Wam,1997,0
228,Wam,1998,0
229,Wam,1999,0
230,Wam,2000,0
231,Wam,2001,0
232,Wam,2002,0
233,Wam,2003,0
234,Wam,2004,0
235,Wam,2005,0
236,Wam,2006,0
237,Wam,2007,0
238,Wam,2008,0
239,Wam,2009,0
240,Wam,2010,0
241,Wam,2011,0
242,Wam,2012,0
243,Wam,2013,0
244,Wam,2014,0
245,Wam,2015,0
246,Wam,2016,0
247,Wam,2017,0
248,Wam,2018,0
249,Wam,2019,0
250,El Espanolito,1970,0
251,El Espanolito,1971,0
252,El Espanolito,1972,0
253,El Espanolito,1973,0
254,El Espanolito,1974,0
255,El Espanolito,1975,0
256,El Espanolito,1976,0
257,El Espanolito,1977,0
258,El Espanolito,1978,0
259,El Espanolito,1979,0
260,El Espanolito,1980,0
261,El Espanolito,1981,0
262,El Espanolito,1982,0
263,El Espanolito,1983,0
264,El Espanolito,1984,0
265,El Espanolito,1985,0
266,El Espanolito,1986,0
267,El Espanolito,1987,0
268,El Espanolito,1988,0
269,El Espanolito,1989,0
270,El Espanolito,1990,0
271,El Espanolito,1991,0
272,El Espanolito,1992,0
273,El Espanolito,1993,0
274,El Espanolito,1994,0
275,El Espanolito,1995,0
276,El Espanolito,1996,0
277,El Espanolito,1997,0
278,El Espanolito,1998,0
279,El Espanolito,1999,0
280,El Espanolito,2000,0
281,El Espanolito,2001,0
282,El Espanolito,2002,0
283,El Espanolito,2003,0
284,El Espanolito,2004,0
285,El Espanolito,2005,0
286,El Espanolito,2006,0
287,El Espanolito,2007,0
288,El Espanolito,2008,0
289,El Espanolito,2009,0
290,El Espanolito,2010,0
291,El Espanolito,2011,0
292,El Espanolito,2012,0
293,El Espanolito,2013,0
294,El Espanolito,2014,0
295,El Espanolito,2015,0
296,El Espanolito,2016,0
297,El Espanolito,2017,0
298,El Espanolito,2018,0
299,El Espanolito,2019,0
300,Hajjaj,1970,0
301,Hajjaj,1971,0
302,Hajjaj,1972,0
303,Hajjaj,1973,0
304,Hajjaj,1974,0
305,Hajjaj,1975,0
306,Hajjaj,1976,0
307,Hajjaj,1977,0
308,Hajjaj,1978,0
309,Hajjaj,1979,0
310,Hajjaj,1980,0
311,Hajjaj,1981,0
312,Hajjaj,1982,0
313,Hajjaj,1983,0
314,Hajjaj,1984,0
315,Hajjaj,1985,0
316,Hajjaj,1986,0
317,Hajjaj,1987,0
318,Hajjaj,1988,0
319,Hajjaj,1989,0
320,Hajjaj,1990,0
321,Hajjaj,1991,0
322,Hajjaj,1992,0
323,Hajjaj,1993,0
324,Hajjaj,1994,0
325,Hajjaj,1995,0
326,Hajjaj,1996,0
327,Hajjaj,1997,0
328,Hajjaj,1998,0
329,Hajjaj,1999,0
330,Hajjaj,2000,0
331,Hajjaj,2001,0
332,Hajjaj,2002,0
333,Hajjaj,2003,0
334,Hajjaj,2004,0
335,Hajjaj,2005,0
336,Hajjaj,2006,0
337,Hajjaj,2007,0
338,Hajjaj,2008,0
339,Hajjaj,2009,0
340,Hajjaj,2010,0
341,Hajjaj,2011,0
342,Hajjaj,2012,0
343,Hajjaj,2013,0
344,Hajjaj,2014,0
345,Hajjaj,2015,0
346,Hajjaj,2016,0
347,Hajjaj,2017,0
348,Hajjaj,2018,0
349,Hajjaj,2019,0
350,Oragitok,1970,0
351,Oragitok,1971,0
352,Oragitok,1972,0
353,Oragitok,1973,0
354,Oragitok,1974,0
355,Oragitok,1975,0
356,Oragitok,1976,0
357,Oragitok,1977,0
358,Oragitok,1978,0
359,Oragitok,1979,0
360,Oragitok,1980,0
361,Oragitok,1981,0
362,Oragitok,1982,0
363,Oragitok,1983,0
364,Oragitok,1984,0
365,Oragitok,1985,0
366,Oragitok,1986,0
367,Oragitok,1987,0
368,Oragitok,1988,0
369,Oragitok,1989,0
370,Oragitok,1990,0
371,Oragitok,1991,0
372,Oragitok,1992,0
373,Oragitok,1993,0
374,Oragitok,1994,0
375,Oragitok,1995,0
376,Oragitok,1996,0
377,Oragitok,1997,0
378,Oragitok,1998,0
379,Oragitok,1999,0
380,Oragitok,2000,0
381,Oragitok,2001,0
382,Oragitok,2002,0
383,Oragitok,2003,0
384,Oragitok,2004,0
385,Oragitok,2005,0
386,Oragitok,2006,0
387,Oragitok,2007,0
388,Oragitok,2008,0
389,Oragitok,2009,0
390,Oragitok,2010,0
391,Oragitok,2011,0
392,Oragitok,2012,0
393,Oragitok,2013,0
394,Oragitok,2014,0
395,Oragitok,2015,0
396,Oragitok,2016,0
397,Oragitok,2017,0
398,Oragitok,2018,0
399,Oragitok,2019,0
400,Ndop,1970,0
401,Ndop,1971,0
402,Ndop,1972,0
403,Ndop,1973,0
404,Ndop,1974,0
405,Ndop,1975,0
406,Ndop,1976,0
407,Ndop,1977,0
408,Ndop,1978,0
409,Ndop,1979,0
410,Ndop,1980,0
411,Ndop,1981,0
412,Ndop,1982,0
413,Ndop,1983,0
414,Ndop,1984,0
415,Ndop,1985,0
416,Ndop,1986,0
417,Ndop,1987,0
418,Ndop,1988,0
419,Ndop,1989,0
420,Ndop,1990,0
421,Ndop,1991,0
422,Ndop,1992,0
423,Ndop,1993,0
424,Ndop,1994,0
425,Ndop,1995,0
426,Ndop,1996,0
427,Ndop,1997,0
428,Ndop,1998,0
429,Ndop,1999,0
430,Ndop,2000,0
431,Ndop,2001,0
432,Ndop,2002,0
433,Ndop,2003,0
434,Ndop,2004,0
435,Ndop,2005,0
436,Ndop,2006,0
437,Ndop,2007,0
438,Ndop,2008,0
439,Ndop,2009,0
440,Ndop,2010,0
441,Ndop,2011,0
442,Ndop,2012,0
443,Ndop,2013,0
444,Ndop,2014,0
445,Ndop,2015,0
446,Ndop,2016,0
447,Ndop,2017,0
448,Ndop,2018,0
449,Ndop,2019,0
450,Obinze,1970,0
451,Obinze,1971,0
452,Obinze,1972,0
453,Obinze,1973,0
454,Obinze,1974,0
455,Obinze,1975,0
456,Obinze,1976,0
457,Obinze,1977,0
458,Obinze,1978,0
459,Obinze,1979,0
460,Obinze,1980,0
461,Obinze,1981,0
462,Obinze,1982,0
463,Obinze,1983,0
464,Obinze,1984,0
465,Obinze,1985,0
466,Obinze,1986,0
467,Obinze,1987,0
468,Obinze,1988,0
469,Obinze,1989,0
470,Obinze,1990,0
471,Obinze,1991,0
472,Obinze,1992,0
473,Obinze,1993,0
474,Obinze,1994,0
475,Obinze,1995,0
476,Obinze,1996,0
477,Obinze,1997,0
478,Obinze,1998,0
479,Obinze,1999,0
480,Obinze,2000,0
481,Obinze,2001,0
482,Obinze,2002,0
483,Obinze,2003,0
484,Obinze,2004,0
485,Obinze,2005,0
486,Obinze,2006,0
487,Obinze,2007,0
488,Obinze,2008,0
489,Obinze,2009,0
490,Obinze,2010,0
491,Obinze,2011,0
492,Obinze,2012,0
493,Obinze,2013,0
494,Obinze,2014,0
495,Obinze,2015,0
496,Obinze,2016,0
497,Obinze,2017,0
498,Obinze,2018,0
499,Obinze,2019,0
500,Docolo-Oooman,1970,0
501,Docolo-Oooman,1971,0
502,Docolo-Oooman,1972,0
503,Docolo-Oooman,1973,0
504,Docolo-Oooman,1974,0
505,Docolo-Oooman,1975,0
506,Docolo-Oooman,1976,0
507,Docolo-Oooman,1977,0
508,Docolo-Oooman,1978,0
509,Docolo-Oooman,1979,0
510,Docolo-Oooman,1980,0
511,Docolo-Oooman,1981,0
512,Docolo-Oooman,1982,0
513,Docolo-Oooman,1983,0
514,Docolo-Oooman,1984,0
515,Docolo-Oooman,1985,0
516,Docolo-Oooman,1986,0
517,Docolo-Oooman,1987,0
518,Docolo-Oooman,1988,0
519,Docolo-Oooman,1989,0
520,Docolo-Oooman,1990,0
521,Docolo-Oooman,1991,0
522,Docolo-Oooman,1992,0
523,Docolo-Oooman,1993,0
524,Docolo-Oooman,1994,0
525,Docolo-Oooman,1995,0
526,Docolo-Oooman,1996,0
527,Docolo-Oooman,1997,0
528,Docolo-Oooman,1998,0
529,Docolo-Oooman,1999,0
530,Docolo-Oooman,2000,0
531,Docolo-Oooman,2001,0
532,Docolo-Oooman,2002,0
533,Docolo-Oooman,2003,0
534,Docolo-Oooman,2004,0
535,Docolo-Oooman,2005,0
536,Docolo-Oooman,2006,0
537,Docolo-Oooman,2007,0
538,Docolo-Oooman,2008,0
539,Docolo-Oooman,2009,0
540,Docolo-Oooman,2010,0
541,Docolo-Oooman,2011,0
542,Docolo-Oooman,2012,0
543,Docolo-Oooman,2013,0
544,Docolo-Oooman,2014,0
545,Docolo-Oooman,2015,0
546,Docolo-Oooman,2016,0
547,Docolo-Oooman,2017,0
548,Docolo-Oooman,2018,0
549,Docolo-Oooman,2019,0
550,Kouala,1970,0
551,Kouala,1971,0
552,Kouala,1972,0
553,Kouala,1973,0
554,Kouala,1974,0
555,Kouala,1975,0
556,Kouala,1976,0
557,Kouala,1977,0
558,Kouala,1978,0
559,Kouala,1979,0
560,Kouala,1980,0
561,Kouala,1981,0
562,Kouala,1982,0
563,Kouala,1983,0
564,Kouala,1984,0
565,Kouala,1985,0
566,Kouala,1986,0
567,Kouala,1987,0
568,Kouala,1988,0
569,Kouala,1989,0
570,Kouala,1990,0
571,Kouala,1991,0
572,Kouala,1992,0
573,Kouala,1993,0
574,Kouala,1994,0
575,Kouala,1995,0
576,Kouala,1996,0
577,Kouala,1997,0
578,Kouala,1998,0
579,Kouala,1999,0
580,Kouala,2000,0
581,Kouala,2001,0
582,Kouala,2002,0
583,Kouala,2003,0
584,Kouala,2004,0
585,Kouala,2005,0
586,Kouala,2006,0
587,Kouala,2007,0
588,Kouala,2008,0
589,Kouala,2009,0
590,Kouala,2010,0
591,Kouala,2011,0
592,Kouala,2012,0
593,Kouala,2013,0
594,Kouala,2014,0
595,Kouala,2015,0
596,Kouala,2016,0
597,Kouala,2017,0
598,Kouala,2018,0
599,Kouala,2019,0
600,Bangaga,1970,0
601,Bangaga,1971,0
602,Bangaga,1972,0
603,Bangaga,1973,0
604,Bangaga,1974,0
605,Bangaga,1975,0
606,Bangaga,1976,0
607,Bangaga,1977,0
608,Bangaga,1978,0
609,Bangaga,1979,0
610,Bangaga,1980,0
611,Bangaga,1981,0
612,Bangaga,1982,0
613,Bangaga,1983,0
614,Bangaga,1984,0
615,Bangaga,1985,0
616,Bangaga,1986,0
617,Bangaga,1987,0
618,Bangaga,1988,0
619,Bangaga,1989,0
620,Bangaga,1990,0
621,Bangaga,1991,0
622,Bangaga,1992,0
623,Bangaga,1993,0
624,Bangaga,1994,0
625,Bangaga,1995,0
626,Bangaga,1996,0
627,Bangaga,1997,0
628,Bangaga,1998,0
629,Bangaga,1999,0
630,Bangaga,2000,0
631,Bangaga,2001,0
632,Bangaga,2002,0
633,Bangaga,2003,0
634,Bangaga,2004,0
635,Bangaga,2005,0
636,Bangaga,2006,0
637,Bangaga,2007,0
638,Bangaga,2008,0
639,Bangaga,2009,0
640,Bangaga,2010,0
641,Bangaga,2011,0
642,Bangaga,2012,0
643,Bangaga,2013,0
644,Bangaga,2014,0
645,Bangaga,2015,0
646,Bangaga,2016,0
647,Bangaga,2017,0
648,Bangaga,2018,0
649,Bangaga,2019,0
650,Kilcoo,1970,0
651,Kilcoo,1971,0
652,Kilcoo,1972,0
653,Kilcoo,1973,0
654,Kilcoo,1974,0
655,Kilcoo,1975,0
656,Kilcoo,1976,0
657,Kilcoo,1977,0
658,Kilcoo,1978,0
659,Kilcoo,1979,0
660,Kilcoo,1980,0
661,Kilcoo,1981,0
662,Kilcoo,1982,0
663,Kilcoo,1983,0
664,Kilcoo,1984,0
665,Kilcoo,1985,0
666,Kilcoo,1986,0
667,Kilcoo,1987,0
668,Kilcoo,1988,0
669,Kilcoo,1989,0
670,Kilcoo,1990,0
671,Kilcoo,1991,0
672,Kilcoo,1992,0
673,Kilcoo,1993,0
674,Kilcoo,1994,0
675,Kilcoo,1995,0
676,Kilcoo,1996,0
677,Kilcoo,1997,0
678,Kilcoo,1998,0
679,Kilcoo,1999,0
680,Kilcoo,2000,0
681,Kilcoo,2001,0
682,Kilcoo,2002,0
683,Kilcoo,2003,0
684,Kilcoo,2004,0
685,Kilcoo,2005,0
686,Kilcoo,2006,0
687,Kilcoo,2007,0
688,Kilcoo,2008,0
689,Kilcoo,2009,0
690,Kilcoo,2010,0
691,Kilcoo,2011,0
692,Kilcoo,2012,0
693,Kilcoo,2013,0
694,Kilcoo,2014,0
695,Kilcoo,2015,0
696,Kilcoo,2016,0
697,Kilcoo,2017,0
698,Kilcoo,2018,0
699,Kilcoo,2019,0
700,Kofa Ahmadu,1970,0
701,Kofa Ahmadu,1971,0
702,Kofa Ahmadu,1972,0
703,Kofa Ahmadu,1973,0
704,Kofa Ahmadu,1974,0
705,Kofa Ahmadu,1975,0
706,Kofa Ahmadu,1976,0
707,Kofa Ahmadu,1977,0
708,Kofa Ahmadu,1978,0
709,Kofa Ahmadu,1979,0
710,Kofa Ahmadu,1980,0
711,Kofa Ahmadu,1981,0
712,Kofa Ahmadu,1982,0
713,Kofa Ahmadu,1983,0
714,Kofa Ahmadu,1984,0
715,Kofa Ahmadu,1985,0
716,Kofa Ahmadu,1986,0
717,Kofa Ahmadu,1987,0
718,Kofa Ahmadu,1988,0
719,Kofa Ahmadu,1989,0
720,Kofa Ahmadu,1990,0
721,Kofa Ahmadu,1991,0
722,Kofa Ahmadu,1992,0
723,Kofa Ahmadu,1993,0
724,Kofa Ahmadu,1994,0
725,Kofa Ahmadu,1995,0
726,Kofa Ahmadu,1996,0
727,Kofa Ahmadu,1997,0
728,Kofa Ahmadu,1998,0
729,Kofa Ahmadu,1999,0
730,Kofa Ahmadu,2000,0
731,Kofa Ahmadu,2001,0
732,Kofa Ahmadu,2002,0
733,Kofa Ahmadu,2003,0
734,Kofa Ahmadu,2004,0
735,Kofa Ahmadu,2005,0
736,Kofa Ahmadu,2006,0
737,Kofa Ahmadu,2007,0
738,Kofa Ahmadu,2008,0
739,Kofa Ahmadu,2009,0
740,Kofa Ahmadu,2010,0
741,Kofa Ahmadu,2011,0
742,Kofa Ahmadu,2012,0
743,Kofa Ahmadu,2013,0
744,Kofa Ahmadu,2014,0
745,Kofa Ahmadu,2015,0
746,Kofa Ahmadu,2016,0
747,Kofa Ahmadu,2017,0
748,Kofa Ahmadu,2018,0
749,Kofa Ahmadu,2019,0
750,Samlot,1970,0
751,Samlot,1971,0
752,Samlot,1972,0
753,Samlot,1973,0
754,Samlot,1974,0
755,Samlot,1975,0
756,Samlot,1976,0
757,Samlot,1977,0
758,Samlot,1978,0
759,Samlot,1979,0
760,Samlot,1980,0
761,Samlot,1981,0
762,Samlot,1982,0
763,Samlot,1983,0
764,Samlot,1984,0
765,Samlot,1985,0
766,Samlot,1986,0
767,Samlot,1987,0
768,Samlot,1988,0
769,Samlot,1989,0
770,Samlot,1990,0
771,Samlot,1991,0
772,Samlot,1992,0
773,Samlot,1993,0
774,Samlot,1994,0
775,Samlot,1995,0
776,Samlot,1996,0
777,Samlot,1997,0
778,Samlot,1998,0
779,Samlot,1999,0
780,Samlot,2000,0
781,Samlot,2001,0
782,Samlot,2002,0
783,Samlot,2003,0
784,Samlot,2004,0
785,Samlot,2005,0
786,Samlot,2006,0
787,Samlot,2007,0
788,Samlot,2008,0
789,Samlot,2009,0
790,Samlot,2010,0
791,Samlot,2011,0
792,Samlot,2012,0
793,Samlot,2013,0
794,Samlot,2014,0
795,Samlot,2015,0
796,Samlot,2016,0
797,Samlot,2017,0
798,Samlot,2018,0
799,Samlot,2019,0
800,Between Kislovodsk and Cherkessk,1970,0
801,Between Kislovodsk and Cherkessk,1971,0
802,Between Kislovodsk and Cherkessk,1972,0
803,Between Kislovodsk and Cherkessk,1973,0
804,Between Kislovodsk and Cherkessk,1974,0
805,Between Kislovodsk and Cherkessk,1975,0
806,Between Kislovodsk and Cherkessk,1976,0
807,Between Kislovodsk and Cherkessk,1977,0
808,Between Kislovodsk and Cherkessk,1978,0
809,Between Kislovodsk and Cherkessk,1979,0
810,Between Kislovodsk and Cherkessk,1980,0
811,Between Kislovodsk and Cherkessk,1981,0
812,Between Kislovodsk and Cherkessk,1982,0
813,Between Kislovodsk and Cherkessk,1983,0
814,Between Kislovodsk and Cherkessk,1984,0
815,Between Kislovodsk and Cherkessk,1985,0
816,Between Kislovodsk and Cherkessk,1986,0
817,Between Kislovodsk and Cherkessk,1987,0
818,Between Kislovodsk and Cherkessk,1988,0
819,Between Kislovodsk and Cherkessk,1989,0
820,Between Kislovodsk and Cherkessk,1990,0
821,Between Kislovodsk and Cherkessk,1991,0
822,Between Kislovodsk and Cherkessk,1992,0
823,Between Kislovodsk and Cherkessk,1993,0
824,Between Kislovodsk and Cherkessk,1994,0
825,Between Kislovodsk and Cherkessk,1995,0
826,Between Kislovodsk and Cherkessk,1996,0
827,Between Kislovodsk and Cherkessk,1997,0
828,Between Kislovodsk and Cherkessk,1998,0
829,Between Kislovodsk and Cherkessk,1999,0
830,Between Kislovodsk and Cherkessk,2000,0
831,Between Kislovodsk and Cherkessk,2001,0
832,Between Kislovodsk and Cherkessk,2002,0
833,Between Kislovodsk and Cherkessk,2003,0
834,Between Kislovodsk and Cherkessk,2004,0
835,Between Kislovodsk and Cherkessk,2005,0
836,Between Kislovodsk and Cherkessk,2006,0
837,Between Kislovodsk and Cherkessk,2007,0
838,Between Kislovodsk and Cherkessk,2008,0
839,Between Kislovodsk and Cherkessk,2009,0
840,Between Kislovodsk and Cherkessk,2010,0
841,Between Kislovodsk and Cherkessk,2011,0
842,Between Kislovodsk and Cherkessk,2012,0
843,Between Kislovodsk and Cherkessk,2013,0
844,Between Kislovodsk and Cherkessk,2014,0
845,Between Kislovodsk and Cherkessk,2015,0
846,Between Kislovodsk and Cherkessk,2016,0
847,Between Kislovodsk and Cherkessk,2017,0
848,Between Kislovodsk and Cherkessk,2018,0
849,Between Kislovodsk and Cherkessk,2019,0
850,Salingar,1970,0
851,Salingar,1971,0
852,Salingar,1972,0
853,Salingar,1973,0
854,Salingar,1974,0
855,Salingar,1975,0
856,Salingar,1976,0
857,Salingar,1977,0
858,Salingar,1978,0
859,Salingar,1979,0
860,Salingar,1980,0
861,Salingar,1981,0
862,Salingar,1982,0
863,Salingar,1983,0
864,Salingar,1984,0
865,Salingar,1985,0
866,Salingar,1986,0
867,Salingar,1987,0
868,Salingar,1988,0
869,Salingar,1989,0
870,Salingar,1990,0
871,Salingar,1991,0
872,Salingar,1992,0
873,Salingar,1993,0
874,Salingar,1994,0
875,Salingar,1995,0
876,Salingar,1996,0
877,Salingar,1997,0
878,Salingar,1998,0
879,Salingar,1999,0
880,Salingar,2000,0
881,Salingar,2001,0
882,Salingar,2002,0
883,Salingar,2003,0
884,Salingar,2004,0
885,Salingar,2005,0
886,Salingar,2006,0
887,Salingar,2007,0
888,Salingar,2008,0
889,Salingar,2009,0
890,Salingar,2010,0
891,Salingar,2011,0
892,Salingar,2012,0
893,Salingar,2013,0
894,Salingar,2014,0
895,Salingar,2015,0
896,Salingar,2016,0
897,Salingar,2017,0
898,Salingar,2018,0
899,Salingar,2019,0
900,Magpet,1970,0
901,Magpet,1971,0
902,Magpet,1972,0
903,Magpet,1973,0
904,Magpet,1974,0
905,Magpet,1975,0
906,Magpet,1976,0
907,Magpet,1977,0
908,Magpet,1978,0
909,Magpet,1979,0
910,Magpet,1980,0
911,Magpet,1981,0
912,Magpet,1982,0
913,Magpet,1983,0
914,Magpet,1984,0
915,Magpet,1985,0
916,Magpet,1986,0
917,Magpet,1987,0
918,Magpet,1988,0
919,Magpet,1989,0
920,Magpet,1990,0
921,Magpet,1991,0
922,Magpet,1992,0
923,Magpet,1993,0
924,Magpet,1994,0
925,Magpet,1995,0
926,Magpet,1996,0
927,Magpet,1997,0
928,Magpet,1998,0
929,Magpet,1999,0
930,Magpet,2000,0
931,Magpet,2001,0
932,Magpet,2002,0
933,Magpet,2003,0
934,Magpet,2004,0
935,Magpet,2005,0
936,Magpet,2006,0
937,Magpet,2007,0
938,Magpet,2008,0
939,Magpet,2009,0
940,Magpet,2010,0
941,Magpet,2011,0
942,Magpet,2012,0
943,Magpet,2013,0
944,Magpet,2014,0
945,Magpet,2015,0
946,Magpet,2016,0
947,Magpet,2017,0
948,Magpet,2018,0
949,Magpet,2019,0
950,Simdega,1970,0
951,Simdega,1971,0
952,Simdega,1972,0
953,Simdega,1973,0
954,Simdega,1974,0
955,Simdega,1975,0
956,Simdega,1976,0
957,Simdega,1977,0
958,Simdega,1978,0
959,Simdega,1979,0
960,Simdega,1980,0
961,Simdega,1981,0
962,Simdega,1982,0
963,Simdega,1983,0
964,Simdega,1984,0
965,Simdega,1985,0
966,Simdega,1986,0
967,Simdega,1987,0
968,Simdega,1988,0
969,Simdega,1989,0
970,Simdega,1990,0
971,Simdega,1991,0
972,Simdega,1992,0
973,Simdega,1993,0
974,Simdega,1994,0
975,Simdega,1995,0
976,Simdega,1996,0
977,Simdega,1997,0
978,Simdega,1998,0
979,Simdega,1999,0
980,Simdega,2000,0
981,Simdega,2001,0
982,Simdega,2002,0
983,Simdega,2003,0
984,Simdega,2004,0
985,Simdega,2005,0
986,Simdega,2006,0
987,Simdega,2007,0
988,Simdega,2008,0
989,Simdega,2009,0
990,Simdega,2010,0
991,Simdega,2011,0
992,Simdega,2012,0
993,Simdega,2013,0
994,Simdega,2014,0
995,Simdega,2015,0
996,Simdega,2016,0
997,Simdega,2017,0
998,Simdega,2018,0
999,Simdega,2019,0
1000,Puerto Bueno,1970,0
1001,Puerto Bueno,1971,0
1002,Puerto Bueno,1972,0
1003,Puerto Bueno,1973,0
1004,Puerto Bueno,1974,0
1005,Puerto Bueno,1975,0
1006,Puerto Bueno,1976,0
1007,Puerto Bueno,1977,0
1008,Puerto Bueno,1978,0
1009,Puerto Bueno,1979,0
1010,Puerto Bueno,1980,0
1011,Puerto Bueno,1981,0
1012,Puerto Bueno,1982,0
1013,Puerto Bueno,1983,0
1014,Puerto Bueno,1984,0
1015,Puerto Bueno,1985,0
